english,chinese
abandon,放弃
ability,能力
abroad,在国外
absolute,绝对的
absorb,吸收
abstract,抽象的
academic,学术的
accept,接受
access,进入；使用权
accompany,陪伴
accomplish,完成
accurate,准确的
achieve,实现
acquire,获得
adapt,适应
adequate,充足的
adjust,调整
administration,管理；行政
admit,承认；准许进入
adopt,采用；收养
advance,前进；进步
advantage,优势
affect,影响
afford,负担得起
agency,机构
agriculture,农业
aid,帮助
alter,改变
amaze,使惊讶
ambition,抱负
analysis,分析
ancient,古代的
announce,宣布
annual,每年的
anxiety,焦虑
apparent,明显的
appeal,呼吁；吸引力
application,申请；应用
approach,方法；接近
appropriate,合适的
approve,批准；赞成
argue,争论
arise,出现
aspect,方面
assign,分配
assist,协助
assume,假设
athlete,运动员
attain,达到
attitude,态度
authority,权威
available,可获得的
average,平均的
aware,意识到的
barrier,障碍
beneficial,有益的
briefly,简短地
capacity,容量；能力
category,类别
circumstance,情况
civil,公民的；民用的
clarify,澄清
colleague,同事
combination,结合
commercial,商业的
commission,委员会；佣金
commitment,承诺
companion,伙伴
compel,迫使
complex,复杂的
component,组成部分
concentrate,集中
concept,概念
concern,担心；涉及
conduct,进行；行为
confidence,信心
conflict,冲突
conscious,有意识的
conservative,保守的
constant,持续的；常数
constructive,建设性的
consult,咨询
consumer,消费者
contemporary,当代的
context,语境；背景
contract,合同
contrary,相反的
convention,惯例；大会
convince,说服
cooperation,合作
core,核心
corporation,公司
correspond,符合；通信
council,委员会
crisis,危机
criterion,标准
crucial,关键的
cultural,文化的
currency,货币
current,当前的
customer,顾客
database,数据库
decisive,决定性的
decline,下降；拒绝
define,定义
demonstration,示范；游行
derive,获得；起源于
distribution,分配；分布
domestic,国内的；家庭的
dominate,支配
efficient,高效的
eliminate,消除
emerge,出现
emphasis,强调
emphasize,强调
enable,使能够
encounter,遭遇
equivalent,等价的
essential,必要的；本质的
estate,地产
estimate,估计
ethnic,民族的
evaluate,评估
evident,明显的
evolution,演变；进化
excessive,过度的
exclude,排除
executive,执行的；主管
exhibit,展览；展示
expand,扩大
expenditure,支出
expose,暴露；使接触
external,外部的
facilitate,促进；使便利
federal,联邦的
flexible,灵活的
foundation,基础；基金会
framework,框架
function,功能
fundamental,基本的
furthermore,此外
generate,产生
guideline,指导原则
hence,因此
hierarchy,等级制度
hypothesis,假设
illustrate,说明
immense,巨大的
implement,实施
implication,含义；影响
impose,强加
incentive,激励
incidence,发生率
inclined,倾向于……的
income,收入
indicate,表明
inevitable,不可避免的
infer,推断
initial,最初的
innovation,创新
input,输入
inspect,检查
install,安装
institution,机构；制度
integrate,整合
intellectual,智力的
intense,强烈的
interact,互动
internal,内部的
interpret,解释；口译
interview,面试；采访
invest,投资
issue,问题；发行
journal,期刊；日志
justify,证明……有理
layer,层
legal,法律的
legislation,立法
liberal,自由的；开明的
locate,位于；找到
logical,逻辑的
maintain,维持
manual,手工的；手册
margin,边缘；利润
maximum,最大值
mechanism,机制
mediate,调解
medium,媒介；中等的
military,军事的
minimal,最小的
ministry,部
mode,方式
modify,修改
monitor,监控；显示器
motive,动机
mutual,相互的
negative,消极的
network,网络
notion,概念
objective,目标；客观的
obtain,获得
occupy,占据
option,选择
output,输出
overall,总体的
participate,参加
permanent,永久的
perspective,视角
phenomenon,现象
policy,政策
portion,部分
potential,潜在的
principle,原则
priority,优先权
procedure,程序
professional,专业的
promote,促进；晋升
prospect,前景
psychology,心理学
publish,出版
purchase,购买
range,范围
rational,理性的
recover,恢复
region,地区
register,登记；注册
relevant,相关的
reliable,可靠的
remove,去掉
reserve,储备；保留
resource,资源
restrict,限制
retain,保持
reveal,揭示
route,路线
scheme,计划；方案
sector,部门；行业
select,选择
shift,转移；班次
significant,重要的
similarity,相似性
site,地点
source,来源
specific,具体的
strategy,策略
structure,结构
submit,提交
sufficient,足够的
sum,总和
survey,调查
sustainable,可持续的
symbol,象征
target,目标
technique,技术；技巧
theory,理论
transfer,转移
transform,改变
transport,运输
trend,趋势
typical,典型的
ultimate,最终的
undergo,经历
undertake,承担
uniform,统一的；制服
utility,效用；公用事业
valid,有效的
vary,变化
vehicle,车辆
version,版本
volume,体积；卷
welfare,福利
whereas,然而
widespread,广泛的